rest,scr,id,scramble_length
9.46,R2 L B R F L2 D2 B' L2 D' B' R2 F2 U2 B D2 B' R2 U2 ,161,52
9.46,B U2 B R2 B D2 R2 F2 L2 U2 B2 R' F D B L R2 B' D' R2 F2 ,162,56
9.47,F2 D' L2 F2 U2 L2 B2 U' F L F L R B R2 U2 B U' R ,163,49
9.47,R B2 D2 B2 R U2 R U F B' U2 R2 L2 D F2 D R2 U D ,164,48
9.47,B D2 F' D2 F' D2 F' D2 L U R2 F D R' U' B' L' F2 U ,165,51
9.49,U' B2 D' B' U2 L U2 L B' U' L2 B2 L2 D2 F2 U' B2 D L2 U2 ,166,57
9.49,F2 B U R F L U2 D' L' B R' F2 R' L F2 U2 F2 U2 L2 B2 ,167,53
9.49,U2 L2 F U2 F2 D2 B' L2 R2 U L2 F' D L' R' F' D2 F2 D' R' ,168,57
9.51,R U' D F' D B' D2 L2 U' B D2 L F2 R' B2 L B2 L2 F2 R' ,169,54
9.51,U2 R' L B' U2 D B' L F R2 U2 L2 F2 U2 D2 L' F2 L D2 ,170,52
9.51,U2 L2 D F2 D U R2 U' B2 R U2 R D F' U' L2 R2 F' R2 ,171,51
9.51,F U' R2 B' R' F2 R' F2 B D L D2 R F2 U2 R' F2 ,172,46
9.51,U B2 L2 D2 R2 D R2 F2 U' F L' U' L2 R' D U R' B2 L ,173,51
9.52,F U2 B L2 D2 F D2 B2 L' F U2 B D' L F2 D2 L2 B2 U' ,174,51
9.52,D2 R2 D2 R2 B2 F' L2 D2 U L R F L U L D' L2 R D ,175,48
9.53,D2 L F2 D2 F2 L' B2 L U2 R U R D2 U R' B' U2 F' L' ,176,51
9.53,U F2 U' L2 U' R2 D2 F2 L2 U R' U' B2 R B2 F L' B' R' F2 U2 ,177,59
9.54,U L D R D' B' U2 F' D2 F B2 R F2 R L F2 D2 L2 F2 ,178,49
9.54,R2 F B D' F2 L D2 L' D' L2 F R2 B U2 F L2 B D2 ,179,47
9.54,L' F D R' D' B R B2 L U2 B2 U2 B2 U F2 D' L2 D2 F2 U ,180,53
9.54,R F2 U2 L2 F2 L R2 D2 U2 B D R D2 L D R2 B D' R' ,181,49
9.54,D F' L' U' L2 U D' R' F' R2 L2 B2 U' F2 L2 D' L2 U R2 U' ,182,57
9.55,F2 R D' L2 F D' B' L' U R F R2 U L2 U' F2 U2 F2 R2 F2 ,183,54
9.56,U2 L2 F U2 F' L2 B2 D2 U2 B D U2 R' D2 F' L F' R U R' F' ,184,57
9.56,D2 R D2 L B' L2 B2 R B' U' R' L' D2 L F2 L2 F2 D2 B2 ,185,53
9.56,F2 L2 B' D2 B2 U2 R2 U2 L2 B' U2 R' D B' L' U2 L2 D L D L ,186,58
9.56,L' B U' D F U F' D2 L' F' L D2 R' U2 F2 U2 F2 L U2 D2 ,187,54
9.56,F U' L F' D' R2 B' U2 L U F D2 F2 D2 B' D2 B U2 B ,188,50
9.56,R L' U' F2 D2 B' L F2 R' F D R2 U' B2 R2 D2 L2 D B2 ,189,52
9.57,B L2 U2 B' R2 U2 R2 B U' B2 F U L U B L' D' U F2 ,190,49
9.58,D2 B2 R2 F2 L2 D B2 U R B L' R' D2 B L F U B F ,191,47
9.58,R F2 R' B2 L D2 B2 U2 F2 U2 R2 B' L2 D B' D2 L2 U2 L2 ,192,54
9.59,B L2 R2 B' D2 L2 B2 U2 B' D2 R' D' B L' B2 U B' D B' F2 ,193,56
9.59,F2 D U2 R2 U2 F2 U B2 U F' D R B2 R' U' L' B F' U' L' R2 ,194,57
9.59,D2 R2 U2 B' R2 B' D2 F L B L2 D' U2 R F D' U2 L' D ,195,51
9.59,U' R' F2 R' U' R' B R' L' F D2 L2 B2 U2 F2 U2 L2 D' B2 L2 ,196,58
9.59,F' R' U2 D L U' F R D R U2 D2 L U2 D2 R F2 B2 D2 ,197,49
9.61,F' R2 B2 D2 U2 B' R2 F' R2 F' L' U F' L' D U2 L F D' R ,198,55
9.61,U2 F2 D2 L2 F2 L' U2 R B2 R2 B U F' D2 B F2 L B' L' D2 ,199,55
9.61,F L2 D2 R B2 L D' F B' U' F B U2 B U2 R2 F' D2 L2 U2 D2 ,200,56
9.61,F2 U2 B D2 F R2 B2 U2 L2 U L2 B L' F' R B2 D L D' L' ,201,53
9.61,U2 D' L' F2 R' F' L2 D' L F' R L F2 R2 B2 U2 B2 L F2 L' ,202,56
9.61,F' L2 B' R D L2 B2 D R' B' U' B2 D' R2 U R2 B2 L2 B2 U2 ,203,56
9.62,B U' D2 B2 L2 D L2 F' R U F2 U2 F2 R2 U L2 F2 D R2 D2 ,204,54
9.62,B2 L2 D2 F2 U R2 D L2 U' F D R F' L B D' B2 D2 B' F2 ,205,53
9.62,R2 D' B2 L2 F2 D' R2 U L D U F R F2 D2 F2 U' B R ,206,49
9.62,D2 R2 U2 F2 R2 U' L2 D2 B F' D' R' B' U2 L' D' R' U2 ,207,53
9.63,D2 F' D' L2 F2 U' L' U2 B U F B' D2 F U2 B2 R2 L2 U2 L2 ,208,56
9.63,B2 L2 B D2 R2 B R2 B2 U' F D' F2 L2 D' L B' L ,209,46
9.64,R2 F2 U2 L F' L2 U2 R F2 D' R D2 R' L' B2 R D2 R2 U2 ,210,53
9.64,L U2 L R2 U2 R' B2 D2 B U' R2 F L U2 F2 D' F2 U' B' ,211,52
9.64,L2 R2 B' R2 B2 F D2 U2 L' U2 L2 R U' L B' R2 F2 L B ,212,52
9.64,F' D2 U2 B U2 L2 F' L2 B' F L' D' L2 F' U B R B' D B ,213,53
9.64,B' U2 B2 R2 F D2 F2 L2 D2 F D L' D2 F' L' F' D F R2 D ,214,54
9.64,R2 F R' B2 L B U F R' F2 R2 D F2 B2 R2 D' F2 U2 B2 ,215,51
9.65,U B' R D2 F2 L2 F' B L' U' F U2 B' D2 F U2 R2 B R2 B ,216,53
9.65,D2 B U2 F L2 B' R2 U2 L2 B2 L B U' B' F2 L D2 U2 R' B ,217,54
9.66,D' B R' D B L' B2 D F R' F2 U2 F2 B2 R2 B' U2 B2 L2 U2 ,218,55
9.66,D2 B' D2 R2 D2 L2 F' L2 F2 L' F' D U2 B F2 U' L2 U2 L D2 ,219,57
9.66,L2 D B2 D L2 R2 U' R2 D L2 B R B' U2 L' B2 U L B R2 F ,220,54
9.66,B2 D2 F2 U' L2 U F2 U' F2 L F2 U B R2 F' U2 B U2 R2 ,221,52
9.66,L D2 L2 R' U2 F2 R' U2 B U' L2 R U' B2 U' F R' F2 R2 ,222,53
9.66,R' L2 U F2 R' F R B D L U R2 U' B2 U F2 D B2 R2 D' ,223,51
9.66,R' B' D' L' U' F2 L2 F2 R U' D2 B' R2 U2 F D2 B2 L2 F D2 ,224,57
9.67,D2 R2 U F2 D R2 D' U' F2 R' U2 L B' U F2 D2 B F D2 ,225,51
9.67,U2 B2 U B2 U2 L2 B2 R D R2 D' B2 R F D2 U ,226,42
9.67,F2 L B2 D' B U L2 U2 R2 U B2 R2 F2 R D2 L' B2 R B2 ,227,51
9.68,B2 D2 L F2 R D2 F2 D U2 L2 B2 F D R' B' R D2 B ,228,47
9.68,B2 F2 L2 U L2 U B2 U2 R2 D' F R2 D' R U' L' B' U' R B2 ,229,55
9.68,F2 U L2 D' B2 U' L2 B2 L2 U F' U2 L U2 R' B2 R2 D' F2 U2 ,230,57
9.68,L D' L' B' D2 L' F' R' U R B D2 R' B2 L B2 R2 F2 D2 F2 ,231,55
9.68,B' D2 B U2 D R B2 U2 L F' D2 R2 F D2 L2 F2 L2 ,232,46
9.68,B2 U2 B' R2 B' L2 U2 F' D2 L' U2 R' D' L F2 D2 R' F2 L' ,233,56
9.68,R' D' F' B' R' B2 U' D' B' L' U R2 D2 F' R2 F R2 D2 ,234,52
9.68,U' F' R' F L' U2 D2 B R F2 U B2 L2 U2 D' R2 F2 R2 U ,235,52
9.68,F' R2 F2 R2 D2 B2 F U2 R' D2 L' B D' L2 F' U L2 F2 L ,236,53
9.69,F2 R' F B L2 U L' D' L' F' U' R2 B2 D B2 D2 F2 B2 L2 D ,237,55
9.69,F2 R B2 U2 F2 R' U2 R B2 L' F D U' B F2 D B2 R2 B' ,238,51
9.69,B L2 F2 D2 U2 F L2 U2 B' D U2 R' B F' L' R' F2 U' L2 F ,239,55
9.69,R' D2 B U' L2 D2 L' F D L' B L2 D2 B' U2 D2 R2 U2 F U2 ,240,55
9.69,L2 U' D' F' R2 F R' F2 D L2 B U2 R2 D2 R2 U2 B2 R2 B L2 ,241,56
9.69,L2 U2 F2 D L2 U' L2 B2 F2 R D2 L R2 D2 R' F2 U B F ,242,51
9.71,F U2 B2 R' B' R2 U2 R D B' R' F2 R B2 L B2 R2 D2 B2 L ,243,54
9.71,F D L2 U2 B' L U F' R' F' U2 B' R2 F B U2 F' R2 U2 L2 ,244,54
9.71,U' B2 L2 B2 L2 D' L2 U' L2 B2 D F U2 R' D F' U2 F2 R' D' L ,245,59
9.71,L2 B2 U F2 U' B2 D U' B' D B' U' R' D2 R D U' L F ,246,50
9.71,L2 F2 D' L' F R' D' B U B2 U F2 B2 U2 B2 R2 D F2 ,247,49
9.73,L2 D R2 U' R2 U F2 U R2 B U R U2 F' L F' D2 U2 B D2 ,248,52
9.73,R2 U2 R2 F2 D2 F2 R2 U' L2 D B' R' U' R2 D' F2 D U F' D2 ,249,57
9.73,F2 U' L2 U B2 L2 B2 F2 U2 F' D' B' R D' U' L' U R' B2 ,250,54
9.73,F' R U' B' R' L F' L' B2 U' L2 D2 F B L2 B R2 F' D2 ,251,52
9.73,U2 F2 U' D' B R B U' L2 D F R2 U2 F' D2 L2 D2 F' R2 B ,252,54
9.73,U2 B2 F' D2 B2 L2 F' D2 L2 F R' F2 D' U' R F L D2 B R2 ,253,55
9.73,B2 D2 F' L2 F' L2 D2 R2 D2 B' R' F2 D' F' L B L F' D2 U' ,254,57
9.74,F2 U' F2 U2 F2 U L2 R2 D R' F' D R B U B2 U2 F' L D' ,255,53
9.74,U B2 R L2 B' R2 B' R' U' D' B R2 U2 L2 F' U2 F2 B' R2 F ,256,56
9.74,B' L2 F2 R2 B' U2 F L' F2 R' U F2 D2 F' R' B' L2 F' ,257,52
9.74,L2 F L' U' F R2 D' F B' D2 R' B2 L U2 F2 U2 R' U2 B2 L2 ,258,56
9.74,U2 F' L2 F' D2 B' D2 B2 L F2 L2 D' F' L2 R B D' F2 R2 ,259,54
9.75,L2 U' L2 U' B2 U R2 B2 R2 U B2 R U F' U' L' D2 B R' ,260,52
9.75,F U2 F2 R' B D R' U D' F' L2 U2 D2 F2 D2 R2 D2 R' U2 ,261,53
9.75,F2 L2 B R L' F2 U2 B' L F2 L2 D L2 U' B2 U R2 D2 F2 ,262,52
9.76,D2 B2 R2 B U2 B D2 B D2 F2 U R D U L' F' D' F' U2 F' ,263,53
9.76,R2 B2 L F2 L' D2 L' F U L' B' R D' B2 U2 B R' D2 ,264,49
9.76,F2 R D2 R F2 U2 R2 F2 D2 R' F R' D' U' F R2 B' U L ,265,51
